lf_indekso;;;;;;;;;;;
lf_indekso;;;;;;;;;;;
jaro;monato;n-ro;paĝo(j);aŭtoro(j);titolo;tradukis;fontlingvo;rubriko;ŝlosilvorto;recenzita verko/filmo;tipologio
04 - 1973;oktobro;21;5-6;Lina Gabrielli;La vivo savita;;;BELETRO;originala poezio;;poezio originala
04 - 1973;oktobro;21;7-8;Carlo Minnaja;Karnavalo;;;BELETRO;originala prozo;;prozo originala
04 - 1973;oktobro;21;9-10;Giorgio Silfer;1972: STAFETO 20-jara (intervjuo al Regulo Perez);;;INTERVJUO;intervjuo;;intervjuo
04 - 1973;oktobro;21;11;G. Mangini;La duonhoro de G. Mangini;;;HUMURO;humuro;;prozo originala
04 - 1973;oktobro;21;12-13;W. A. Verloren van Thermaat;"La ""Uranogedio"" de Giovanni Ricci";;;KOMENTARIO;retrospektivo;;recenzo
04 - 1973;oktobro;21;14-17;Giovanni Ricci;"El ""Uranogedio""";;;BELETRO;originala poezio;;poezio originala
04 - 1973;oktobro;21;18;La Redakcio;"Premio ""Urbo Novara""";;;REDAKCIE;aktualaĵoj;;anonco
04 - 1973;decembro;22;2;La Redakcio;Nur mallonga mesaĝo;;;BELETRO;prozo;;prozo originala
04 - 1973;decembro;22;3-5;Elio Migliorini;Kamparanaj domoj en Italujo;;;SCIENCO;geografio;;eseo originala
04 - 1973;decembro;22;6-8;István Szerdahelyi;Esperantistoj kaj interlingvistoj;;;LINGVISTIKO;lingvistiko;;eseo originala
04 - 1973;decembro;22;9;G. Mangini;La duonhoro;;;HUMURO;humuro;;prozo originala
04 - 1973;decembro;22;10-11;Asterisko;Negocado en la Nordo;;;ESEO;dokumento;;eseo originala
04 - 1973;decembro;22;12;Roger Bernard;Li spionis Aliam;;;TEATRO;teatro;;teatro originala
04 - 1973;decembro;22;12-13;La Redakcio;Marĝene al la Enciklopedio;;;KOMENTARIO;retrospektivo;;recenzo
04 - 1973;decembro;22;14;La Redakcio;"Internacia Literaturkonkurso ""Picenum""";;;REDAKCIE;aktualaĵoj;;anonco
05 - 1974;februaro;23;2-3;Giorgio Silfer;"Oni nomas lin ""Pajo"" …";;;INTERVJUO;intervjuo;;intervjuo
05 - 1974;februaro;23;4-5;Spomenka Ŝtimec;6a Pupteatra Internacia Festivalo;;;TEATRO;teatro;;teatro originala
05 - 1974;februaro;23;6-7;Carlo Minnaja;"""Ni kaj Ĝi""";;;EN VITRINO;recenzo;Gaston Waringhien (1972), Ni kaj Ĝi;recenzo
05 - 1974;februaro;23;8-11;István Szerdahelyi;La karaktero de vortelementoj en Esperanto (1);;;LINGVISTIKO;lingvistiko;;eseo originala
05 - 1974;februaro;23;11;;La brava knabo de la ’99 (Pri Luigi Minnaja);;;BELETRO;tradukita poezio;;poezio originala
