lf_indekso;;;;;;;;;;;
lf_indekso;;;;;;;;;;;
jaro;monato;n-ro;paĝo(j);aŭtoro(j);titolo;tradukis;fontlingvo;rubriko;ŝlosilvorto;recenzita verko/filmo;tipologio
05 - 1974;oktobro;27;2-3;Carlo Minnaja;Someraj ekspozicioj en norda Italujo;;;ESEO;ekspozicio;;eseo originala
05 - 1974;oktobro;27;4-5;N. Z. Maimon;La juna Ludoviko ekster sia genta medio;;;FILOZOFIO;religio;;eseo originala
05 - 1974;oktobro;27;6-7;Giacomo Leopardi;Al Silvja;Gaudenzio Pisoni;itala;BELETRO;tradukita poezio;;poezio tradukita
05 - 1974;oktobro;27;8-9;Giorgio Silfer;Danielle Beguin, muziko en la poŝo;;;INTERVJUO;intervjuo;;intervjuo
05 - 1974;oktobro;27;10-12;Nevena Nedelĉeva;Patrino;;;BELETRO;novelo;;prozo originala
05 - 1974;oktobro;27;13;Giorgio Silfer;Nova Teatro;;;TEATRO;teatro;;teatro originala
05 - 1974;oktobro;27;14;Asterikso;Bondeziro, ONFRI;;;NOVJARA SALUTO;bondeziro;;anonco
05 - 1974;oktobro;27;16;Giancarlo Mangini;La duonhoro;;;HUMURO;humuro;;prozo originala
05 - 1974;decembro;28;2-3;Giorgio Silfer;Nova kontakto kun Samuel Becket;;;ESEO;dokumento;;eseo originala
05 - 1974;decembro;28;4-5;Giuseppe Ungaretti;La riveroj;Gaudenzio Pisoni;itala;BELETRO;tradukita poezio;;poezio tradukita
05 - 1974;decembro;28;6-7;Asterikso;Lasta Gulivero foriris;;;HISTORIO;omaĝo;;nekrologo
05 - 1974;decembro;28;8-14;Sándor Szathmári;Budapesta ekzameno;;;TEATRO;teatro;;teatro originala
05 - 1974;decembro;28;15;;"Internacia literaturkonkurso ''Gradara"" por poezia kaj prozo";;;REDAKCIE;aktualaĵoj;;anonco
05 - 1974;decembro;28;16-19;István Szerdahelyi;La bros-problemo;;;LINGVISTIKO;lingvistiko;;eseo originala
06 - 1975;februaro;29;2-3;Giorgio Silfer;Dramoj el la germana konsumismo;;;ESEO;prozo/arikolo;;eseo originala
06 - 1975;februaro;29;4-5;Gianluigi Gimelli;Poemoj de Gianluigi Gimelli;;;BELETRO;originala poezio;;poezio originala
06 - 1975;februaro;29;6-7;Carlo Minnaja;Stafeto ĉe la Belartaj Konkursoj;;;ESEO;artikolo;;eseo originala
06 - 1975;februaro;29;8-10;Giorgio Silfer;Profesieco en Esperanto-agado;;;INTERVJUO;intervjuo;;intervjuo
06 - 1975;februaro;29;11-14;K. Kalocsay;La karakteroj de vortelementoj en Esperanto;;;LINGVISTIKO;lingvistiko;;eseo originala
06 - 1975;februaro;29;15;redakcie;Patrolkonkurso 1975;;;REDAKCIE;aktualaĵoj;;anonco
06 - 1975;aprilo;30;2-4;Stanislaw Srokowski;el la poemaroj de Stanislaw Srokowski;Jan Smykalski;pola;BELETRO;tradukita poezio;;poezio tradukita
06 - 1975;aprilo;30;5;István Szerdahelyi;Reago al la kritiko de Kálmán Kalocsay;;;LINGVISTIKO;lingvstiko;;eseo originala
06 - 1975;aprilo;30;6-7;Perla Martinelli;Sciencfikcie kun Jan Forge;;;INTERVJUO;interjuo;;intervjuo
06 - 1975;aprilo;30;8-10;Giorgio Silfer;Renkonto kun Bertold Brecht;;;TEATRO;teatro;;teatro originala
06 - 1975;aprilo;30;11;redakcie;Kio pri ili;;;REDAKCIE;aktualaĵoj;;anonco
06 - 1975;aprilo;30;12-14;Giuseppe Ungaretti;"El ""La doloro""";Nicolino Rossi;itala;BELETRO;poezio;;poezio tradukita
6 - 1975;aprilo;30;16;;En vitrino;;;EN VITRINO;recenzo;"Lorjak (1975), Neologisme; Aldolf Holzhaus (1974), Granda galerio Zamenhofa; Vittorio Dall'Acqua (1974), Senkatenaj dialogoj";recenzo
06 - 1975;junio-aŭgusto;31-32;2-3;;"Pri la sorto de ""NORDA PRISMO""";;;REDAKCIE;aktualaĵoj;;anonco
06 - 1975;junio-aŭgusto;31-32;4-5;Clelia Conterno;Boccaccio;;;BELETRO;romano;;prozo originala
06 - 1975;junio-aŭgusto;31-32;6-8;Giovanni Boccaccio;"El ""Dekamerono""";Gaston Waringhien;itala;BELETRO;romano;;prozo tradukita
06 - 1975;junio-aŭgusto;31-32;9;Karolo Piĉ;Asfodeloj;;;BELETRO;poemo;;poezio originala
06 - 1975;junio-aŭgusto;31-32;10;Antonio Gambuti;La maro;;;BELETRO;poemo;;poezio originala
06 - 1975;junio-aŭgusto;31-32;11;redakcie;Premio Gradara 1975, Aŭtoro de la jaro 1976;;;REDAKCIE;komunikoj;;anonco
06 - 1975;junio-aŭgusto;31-32;12-15;libera tribuno;La bros-problemo;;;LINGVISTIKO;lingvistiko;;eseo originala
06 - 1975;junio-aŭgusto;31-32;16-17;Giorgio Silfer;Intervjuo al Alphonse Matejka;;;INTERVJUO;intervjuo;;intervjuo
06 - 1975;junio-aŭgusto;31-32;18;redakcie;Kio pri ili;;;REDAKCIE;aktualaĵoj;;anonco
06 - 1975;junio-aŭgusto;31-32;19;Giorgio Silfer;El la vivo de bervala sentaŭgulo;;;EN VITRINO;recenzo;Louis Beaucaire (1974), El la vivo de bervala sentaŭgulo;recenzo
06 - 1975;junio-aŭgusto;31-32;20-21;Carlo Minnaja;Esperanto en perspektivo;;;EN VITRINO;recenzo;Ivo Lapenna, Ulrich Lins kaj Tazio Carlevaro (1974), Esperanto en perspektivo;recenzo
06 - 1975;oktobro;33;2-3;;Patrolkonkurso;;;KONKURSFAKO;konkursojj;;anonco
06 - 1975;oktobro;33;4;Lina Gabrielli;Eble;;;BELETRO;originala poezio;;poezio originala
06 - 1975;oktobro;33;4;Aldo de’ Giorgi;Malabsolvo;;;BELETRO;originala poezio;;poezio originala
06 - 1975;oktobro;33;5;Kjell Walraamoen;Montdesegno en blanka memoro;;;BELETRO;originala poezio;;poezio originala
06 - 1975;oktobro;33;5;Elvira Lippe;Libro de l’ arbaro;;;BELETRO;originala poezio;;poezio originala
06 - 1975;oktobro;33;6-7;Alfredo Perricone Pirandello;Li nepre klarigadis la rilatan kialon;;;BELETRO;novelo;;prozo originala
06 - 1975;oktobro;33;8;redakcie;Kio pri ili;;;REDAKCIE;aktualaĵoj;;anonco
06 - 1975;oktobro;33;9-12;István Szerdahelyi;La lingvistika terminologio en Esperanto;;;LINGVISTIKO;lingvistiko;;eseo originala
06 - 1975;oktobro;33;12;redakcie;Memore pri Bruno Migliorini;;;HISTORIO;omaĝo;;nekrologo
06 - 1975;oktobro;33;13-14;Carlo Minnaja;Verda robo;;;EN VITRINO;recenzo;Johan Hammond Rosbach (1974), Verda robo aŭ ordinaraj Indianoj;recenzo
06 - 1975;oktobro;33;14;Giorgio Silfer;Kalejdoskopa varieto;;;EN VITRINO;recenzo;Ergoto de Bonaero (1974), Kalejdoskopa varieto;recenzo
06 - 1975;oktobro;33;15;Asterisko;Okaze de jubilea tosto;;;REDAKCIE;asterisko;;eseo originala
06 - 1975;decembro;34;2;Antonio De Salvo;Alia Nobel-premio;;;KONKURSFAKO;premio;;anonco
06 - 1975;decembro;34;2-3;Eugenio Montale;"Poemoj el la kolekto ""Ostoj de Sepio""";Gaudenzio Pisoni;itala;BELETRO;tradukita poezio;;poezio tradukita
06 - 1975;decembro;34;4-6;Clelia Conterno;Scolafritti (La virino en la E-literaturo);;;ESEO;esseo;;eseo originala
06 - 1975;decembro;34;7;Reinhard Haupental;La letero;;;REDAKCIE;letero;;anonco
06 - 1975;decembro;34;8-9;Spomenka Ŝtimec;Pupteatra oktobro en Zagrebo;;;TEATRO;pupteatro;;teatro originala
06 - 1975;decembro;34;10;redakcie;Sociologio kaj Beletro - tri demandoj al Peter G. Forster;;;INTERVJUO;intervjuo;;intervjuo
06 - 1975;decembro;34;11-12;Michel Duc Goninaz;La dudekkvar sonetoj;;;EN VITRINO;recenzo;Louise Labe (1975), La dudek kvar sonetoj, tr. Wilhelm Theodor Oeste;recenzo
06 - 1975;decembro;34;12;Giorgio Silfer;La perdita vizaĝo;;;EN VITRINO;recenzo;Josef Nesvadba (1973),  La perdita vizaĝo, tr. Adolf Staňura;recenzo
06 - 1975;decembro;34;13;István Szerdahelyi;Ĉu vorto aŭ vortelemento?;;;LINGVISTIKO;lingvistiko;;eseo originala
06 - 1975;decembro;34;14;Nicolino Rossi;"Literatura rondo ""La Patrolo""";;;HISTORIO;historio;;eseo originala
07 - 1976;februaro;35;2-3;redakcie;La Turo de Puijo post la Madoneto;;;ESEO;dokumento;;eseo originala
07 - 1976;februaro;35;4;Francesco Petrarca, Geonges de Scudéry;Ĉe la fonto de Valkluzoc;Gaston Waringhien;itala, franca;BELETRO;tradukita poezio;;poezio tradukita
07 - 1976;februaro;35;5;Umberto Saba;La poeto;Gaudenzio Pisoni;itala, franca;BELETRO;tradukita poezio;;poezio tradukita
07 - 1976;februaro;35;6;Nicolino Rossi;Uraganoj;;;BELETRO;poemo;;poezio originala
07 - 1976;februaro;35;7-9;Hantan Ellison;Sangaj ŝtonoj;Charles Power;angla;BELETRO;tradukita prozo;;prozo tradukita
07 - 1976;februaro;35;10-11;diversaj aŭtoroj;Komuna demando pri la Belartaj;;;REDAKCIE;aktualaĵoj;;anonco
07 - 1976;februaro;35;12;Pál Felső;Sukceson al SUK!;;;REDAKCIE;aktualaĵoj;;anonco
07 - 1976;februaro;35;13-14;Giorgio Silfer;Metodologio de Esperanto;;;EN VITRINO;recenzo;István Szerdahelyi (1975), Metodologio de Esperanto;recenzo
07 - 1976;aprilo;36;2-3;Nicolino Rossi;"el la poemkolekto ""Amiko Gaja""";;;BELETRO;originala poezio;;poezio originala
07 - 1976;aprilo;36;4;Zora Heide;Vizio;;;BELETRO;originala poezio;;poezio originala
07 - 1976;aprilo;36;5;Julius Balbin;Stranga muziko;;;BELETRO;originala prozo;;prozo originala
07 - 1976;aprilo;36;6-8;M. Delcourt - J. Amoroux;Unuaj esperantistaj Floraj Ludoj;;;REDAKCIE;konkurso;;anonco
07 - 1976;aprilo;36;9-12;Giorgio Silfer;Lasta kafo kun Kalocsay;;;HISTORIO;omaĝo;;nekrologo
07 - 1976;aprilo;36;13-14;Hartmut Trunte;Hasanagaino;;;EN VITRINO;recenzo;(1975), Hasanagaino, tr. Fran Janjiĉ;recenzo
07 - 1976;aprilo;36;14;redakcie;El la lasta Patrolkunsido;;;REDAKCIE;dokumento;;anonco
07 - 1976;junio-aŭgusto;37-38;2;Kálmán Kalocsay;"El ""Letero al William Auld""";;;BELETRO;letero;;prozo originala
07 - 1976;junio-aŭgusto;37-38;3-4;William Auld;La Infana Raso dudekjara;;;REDAKCIE;datreveno;;anonco
07 - 1976;junio-aŭgusto;37-38;5-7;Vilmos Benczik;Sinteza verko;;;ESEO;eseo;;eseo originala
07 - 1976;junio-aŭgusto;37-38;8-9;Giorgio Silfer;Epoko finiĝis;;;HISTORIO;historio;;eseo originala
07 - 1976;junio-aŭgusto;37-38;10-13;Tazio Carlevaro;La enigmo de Beaufront;;;BELETRO;historio;;prozo originala
07 - 1976;junio-aŭgusto;37-38;14-15;Gianluigi Gimelli;Lumoj kaj ombroj sur nuragoj;;;ESEO;eseo;;eseo originala
07 - 1976;junio-aŭgusto;37-38;16-17;Giorgio Silfer;Ses demandoj al István Szerdahelyi;;;INTERVJUO;intervjuo;;intervjuo
07 - 1976;junio-aŭgusto;37-38;18;Carlo Minnaja;Presitaj libroj kaj nepresitaj manuskriptoj;;;ESEO;artikolo;;eseo originala
07 - 1976;junio-aŭgusto;37-38;19-20;Gaston Waringhien;"""La Doloro"" de G.Ungaretti (tr. N.Rossi)";;;EN VITRINO;recenzo;G.Ungaretti (1975), La Doloro, tr. N.Rossi;recenzo
07 - 1976;junio-aŭgusto;37-38;20-21;Clelia Conterno;"""Ĝis nun"" de Daphne Lister";;;EN VITRINO;recenzo;Daphne Lister (1976), Ĝis nun;recenzo
07 - 1976;oktobro;39;2;Angelo Poliziano;Bonvenon, Majo!;Kálmán Kalocsay;itala;BELETRO;tradukita poezio;;poezio tradukita
07 - 1976;oktobro;39;3;redakcie;Lasta omaĝo al Kálmán Kalocsay;;;HISTORIO;omaĝo;;nekrologo
07 - 1976;oktobro;39;3-4;Michelangelo;Michelangelo kaj la nokto;Gaston Waringhien;itala;BELETRO;tradukita poezio;;poezio tradukita
07 - 1976;oktobro;39;6-7;Giorgio Silfer;Intervjuo kun Marcel Erbetta;;;INTERVJUO;intervjuo;;intervjuo
07 - 1976;oktobro;39;8-9;Roger Bernard;La Verda Kato testamentis antaŭ 50 jaroj;;;HISTORIO;historio;;eseo originala
07 - 1976;oktobro;39;10-11;Tina Miglioli;Planlingvistika fenomeno en la itala renesanco Teofilo Folengo;;;PLANLINGVISTIKO;planlingvistiko;;eseo originala
07 - 1976;oktobro;39;12;Ed Borsboom;La drinkokanto en Esperanto;;;;;;eseo originala
07 - 1976;oktobro;39;13-14;Carlo Minnaja;"""Plukonstrue"" de Edwin de Kock";;;EN VITRINO;recenzo;Edwin de Kock (1975), Plukonstrue;recenzo
07 - 1976;decembro;40;2-3;Carlo Porta;La elekto de la kapelpastro;Gaudenzio Pisoni;milana dialekto;BELETRO;tradukita poezio;;poezio tradukita
07 - 1976;decembro;40;4;Gianluigi Gimelli;Post la eksplodo / Somere en kamparo;;;BELETRO;originala poezio;;poezio originala
07 - 1976;decembro;40;4;Nicolino Rossi;Kaj ĉi vespere;;;BELETRO;originala poezio;;poezio originala
07 - 1976;decembro;40;5;Giorgio Silfer;Amikon mi havis / Ĉu mi revidos vin;;;BELETRO;originala poezio;;poezio originala
07 - 1976;decembro;40;6-7;J. Amouroux - M. Delcourt;Grandeco kaj dekadenco: fino de mito (1);;;;;;eseo originala
07 - 1976;decembro;40;8;N. Z. Maimon;Okaze de la Zamenhof-Tago;;;ZAMENHOFOLOGIO;festo;;anonco
07 - 1976;decembro;40;9;N. Z. Maimon;Jidlingvaj studoj de Zamenhof;;;HISTORIO;historio;;eseo originala
07 - 1976;decembro;40;10-11;Emilija Lapenna;Literatura anatomio;;;;;;eseo originala
07 - 1976;decembro;40;12;K. Kafavis;Itako;Renato Corsetti;angla;BELETRO;tradukita poezio;;poezio tradukita
07 - 1976;decembro;40;13-14;Michel Duc Goninaz;"""La Ĥimeroj"" G. de Nerval";;;EN VITRINO;recenzo;G. de Nerval (1976), Les Chimeres - La Ĥimeroj, tr. Gaston Waringhien;recenzo
07 - 1976;decembro;40;14;Clelia Conterno;"""Ĉu vi kuiras ĉine?"" de Johán Valano";;;EN VITRINO;recenzo;Johán Valano (1976), Ĉu vi kuiras ĉine?;recenzo
08 - 1977;februaro;41;2-4;Albert Goodhier;"El ""Merlo sur Menhiro""";;;BELETRO;originala poezio;;poezio originala
08 - 1977;februaro;41;4;Giorgio Silfer;Aŭtoro de la Jaro: kelkaj pensoj;;;;;;eseo originala
08 - 1977;februaro;41;5-7;Albert Goodhier;La filozofo;;;;;;eseo originala
08 - 1977;februaro;41;8;Giorgio Silfer;Renkonto kun Gorki;;;;;;eseo originala
08 - 1977;februaro;41;9;Reino Eriksson;La Barbaroj;;;;;;eseo originala
08 - 1977;februaro;41;10-11;Tyburciusz Tyblewski;Interparolo kun la sekretario de Tolstoj;;;;;;eseo originala
08 - 1977;februaro;41;12;M. Delcourt - J. Amoroux;Grandeco kaj dekadenco: fino de mito (2);;;;;;eseo originala
08 - 1977;februaro;41;13;Jim Cushing;"""Transe"" de Lorjak";;;EN VITRINO;recenzo;Lorjak (1976), Transe;recenzo
08 - 1977;februaro;41;14;Jouko Lindstedt;"""Vorto kaj Vortelemento"" de István Szerdahelyi";;;EN VITRINO;recenzo;István Szerdahelyi (1976), Vorto kaj vortelemento en Esperanto;recenzo
08 - 1977;aprilo;42;2-3;Julio Baghy;Poembukedo;;;BELETRO;originala poezio;;poezio originala
08 - 1977;aprilo;42;4-5;Pierre Ullman;Rifuĝoŝopiro;;;ESEO;eseo;;eseo originala
08 - 1977;aprilo;42;6-8;Johann Martin Schleyer / R. Haupental;Kiamaniere la eltrovinto de la Mondolingvo venis al la ideo de sia eltrovaĵo?;R. Haupental;germana;ESEO;artikolo;;eseo tradukita
08 - 1977;aprilo;42;9-10;Gaudenzio Pisoni;"""Rimleteroj"" de M. Boulton - W. Auld";;;EN VITRINO;recenzo;M. Boulton - W. Auld (1976), Rimleteroj;recenzo
08 - 1977;aprilo;42;10;Pekka Kaikumi;"""Hel"" de Sigurdur Nordal";;;EN VITRINO;recenzo;Sigurdur Nordal, Hel, tr. W. T. Oeste (manuskripto);recenzo
08 - 1977;aprilo;42;11;Sigurdur Nordal;Disigitaj vojoj;W. T. Oeste;islanda;BELETRO;tradukita prozo;;prozo tradukita
08 - 1977;aprilo;42;12-13;Katalin Nagy;"Lingvo- kaj stilevoluaj tendencoj en la spegulo de du tradukoj de ""La Tragedio de l' homo""";;;LINGVISTIKO;lingvistiko;"Imre Madách ""La Tragedio de l' homo"" (tr. K. Kalocsay)";eseo originala
08 - 1977;junio-aŭgusto;43-44;2;Gianluigi Gimelli;Cindro, Poezio;;;BELETRO;originala poezio;;poezio originala
08 - 1977;junio-aŭgusto;43-44;3-4;Giorgio Silfer;La sepan jaron li estu libera;;;KOMENTARIO;opinio;;eseo originala
08 - 1977;junio-aŭgusto;43-44;5-7;Laurie Lee;La alia sekso;William Auld;angla;BELETRO;novelo;;prozo tradukita
08 - 1977;junio-aŭgusto;43-44;8-9;Marcel Delcourt, Jean Amoroux;Tosto al la homaro;;;ESEO;eseo;;eseo originala
08 - 1977;junio-aŭgusto;43-44;10-11;Clelia Conterno;Baghy tra la tempo;;;ESEO;eseo;;eseo originala
08 - 1977;junio-aŭgusto;43-44;12-13;Tazio Carlevaro;Balaibalan;;;HISTORIO;historio;;eseo originala
08 - 1977;junio-aŭgusto;43-44;14;Carlo Minnaja;Freŝa sciencfikcio;;;ESEO;artikolo;;eseo originala
08 - 1977;junio-aŭgusto;43-44;15-17;Bernard Golden;Epifanio;;;EN VITRINO;recenzo;William Shakespeare (1977), Epifanio, tr. William Auld;recenzo
08 - 1977;junio-aŭgusto;43-44;18-19;Tazio Carlevaro;CDELI dekjara utopio;;;HISTORIO;historio;;eseo originala
08 - 1977;junio-aŭgusto;43-44;20;Helmar Frank;Pedagogiaj Tagoj en Caceres;;;REDAKCIE;evento;;anonco
08 - 1977;oktobro;45;2;Johán Valano;Spegule;;;BELETRO;originala poezio;;poezio originala
08 - 1977;oktobro;45;3;Giorgio Silfer;Pri: Ĉu vi kuiras ĉine?;;;EN VITRINO;recenzo;Johán Valano (1976), Ĉu vi kuiras ĉine?;recenzo
08 - 1977;oktobro;45;4;Perla Martinelli;Publiko pli matura ol la opinifarantaj;;;ESEO;artikolo;;eseo originala
08 - 1977;oktobro;45;6-7;Johán Valano;La albana garaĝisto;;;BELETRO;romano;;prozo originala
08 - 1977;oktobro;45;8-9;diversaj intervjuantoj;Respondas la Esperanta Simenon;;;BELETRO;prozo;;prozo originala
08 - 1977;oktobro;45;10-11;Ed Borsboom;Babilante kun Manders;;;ESEO;artikolo;;eseo originala
08 - 1977;oktobro;45;12-13;diversaj aŭtoroj;Floru ĉiuj floroj!;;;ESEO;artikolo;;eseo originala
08 - 1977;oktobro;45;14;Jouko Lindstedt;Internacia Lingvistika Simpozio;;;EN VITRINO;recenzo;red. Ztakto Tiŝlar (1976), Internacia Lingvistika Simpozio;recenzo
08 - 1977;decembro;46;2;Ferenc Szilágyi;Vivraporto;;;BELETRO;poemo;;poezio originala
08 - 1977;decembro;46;3-5;Giorgio Silfer;Ferenc Szilágyi: Unika hungaro;;;ESEO;eseo;;eseo originala
08 - 1977;decembro;46;4;William Auld;Memore al Ferenc Szilágyi;;;HISTORIO;omaĝo;;nekrologo
08 - 1977;decembro;46;5;Giorgio Silfer;Pri Agostino Brizzi;;;;;;eseo originala
08 - 1977;decembro;46;6-7;Agostino Brizzi;La indigno de Mastro Roko;;;BELETRO;romano;;prozo originala
08 - 1977;decembro;46;8;Nicolino Rossi;Du poemoj;;;BELETRO;poezio;;poezio originala
08 - 1977;decembro;46;9;Ĝuro Sudeta;Ĝuro Sudeta: Juna voĉo kroata;Jozevo Valebit;kroata;BELETRO;poezio;;poezio tradukita
08 - 1977;decembro;46;10-11;Spomenka Ŝtimec;De IOE al PIF;;;TEATRO;teatro;;teatro originala
08 - 1977;decembro;46;12-14;Bernard Golden;Ĉu Zamenhof konis la turkan lingvon?;;;ZAMENHOFOLOGIO;festo;;anonco
08 - 1977;decembro;46;15-16;Vittorio Dall’ Acqua;"""De tempo al tempo"" de G. Silfer";;;EN VITRINO;recenzo;Giorgio Silfer (1977), De tempo al tempo;recenzo
08 - 1977;decembro;46;16;Clelia Conterno;"""Homa animo"" de Despina Patrinu";;;EN VITRINO;recenzo;Despina Patrinu (1976), Homa animo;recenzo
08 - 1977;decembro;46;17;Reinhard Haupental;Koko krias jam, De Paĝo al Paĝo, Kvaropo;;;EN VITRINO;recenzo;"Ferenc Szilágyi, Koko krias jam; Lajos Tankony, De paĝo al paĝo; Autd/Dinwoodie/ Fnancis /Rosseti (1977), Kvaropo";recenzo
08 - 1977;decembro;46;17;W. A. Verloren van Thermaat;Letero al la redakcio;;;REDAKCIE;letero;;anonco
09 - 1978;februaro;47;2-3;Eugenio Montale;Eksprese pri kino;;;ESEO;artikolo;;eseo originala
09 - 1978;februaro;47;4-7;Bernard Golden;La profanado;;;ESEO;eseo;;eseo originala
09 - 1978;februaro;47;8;Bernard Golden;Ĉu Zamenhof konis la turkan lingvon? (bibliografio de la artikolo);;;ZAMENHOFOLOGIO;;;eseo originala
09 - 1978;februaro;47;9;Clelia Conterno;Juvelo minora;;;BELETRO;prozo;;prozo originala
09 - 1978;februaro;47;10-11;Tazio Carlevaro;La revuo Cosmoglotta;;;ESEO;eseo;;eseo originala
09 - 1978;februaro;47;12-13;redakcie;Someraj Universitataj Kursoj / IFA 1978;;;REDAKCIE;anonco;;anonco
09 - 1978;februaro;47;14-15;Clelia Conterno;"""Venis viro"" de Torben Nielsen";;;EN VITRINO;recenzo;Torben Nielsen (1976), Venis viro, tr. Gudrun Riisberg;recenzo
09 - 1978;februaro;47;15;Tazio Carlevaro;"""Noktoj"" de Serge Sire";;;EN VITRINO;recenzo;Serge Sire (1977), Noktoj;recenzo
09 - 1978;februaro;47;16-17;Giulio Cappa;"""Tra l' mondo"" de Oliver Tzaut / C. Piron";;;EN VITRINO;recenzo;Oliver Tzaut / C. Piron (1977) Tra l' mondo. (popolkanzona disko);recenzo
09 - 1978;februaro;47;17;Henri Vatré;"""Malmalice"" de Johán Valano";;;EN VITRINO;recenzo;Johán Valano (1977), Malmalice;recenzo
09 - 1978;februaro;47;20;Asterisko;Charlye Chaplin;;;REDAKCIE;asterisko;;eseo originala
09 - 1978;aprilo;48;2-4;Victor Lebrun;"La unua amo (el ""Devoto al Tolstoi"")";Tyburciusz Tyblewski;rusa;HISTORIO;omaĝo;;nekrologo
09 - 1978;aprilo;48;5;Seamus Heaney;La tollund-homo;Kris Long;angla;BELETRO;poemo;;poezio tradukita
09 - 1978;aprilo;48;6-9;István Szerdahelyi;La kontinueco en la historio de Interlingvistiko;;;PLANLINGVISTIKO;interlingvistiko;;eseo originala
09 - 1978;aprilo;48;10-11;Giorgio Silfer;La rolo de Finnlando en la Esperanto-kulturo;;;HISTORIO;kulturhistorio;;eseo originala
09 - 1978;aprilo;48;12;Reinhard Haupental / La redakcio;Hungaraj represoj;;;;;;eseo originala
09 - 1978;aprilo;48;13-16;Bernard Golden;"""Kantoj, poemoj kaj satiroj"" de Burns (tr. Auld-Rossetti)";;;EN VITRINO;recenzo;Robert Burns (1977), Kantoj, poemoj kaj satiroj, tr. Auld-Rossetti;recenzo
09 - 1978;aprilo;48;17;Michel Duc Goninaz;"""La renesanca periodo"" de Gaston Waringhien";;;EN VITRINO;recenzo;Gaston Waringhien (1977), La renesanca periodo (enkonduko, notoj kaj tradukoj);recenzo
09 - 1978;aprilo;48;17-18;Claude Piron;"""La Vojo"" (kasedo) de Ĝanfranko";;;EN VITRINO;recenzo;Ĝanfranko (1977) La Vojo (kasedo);recenzo
09 - 1978;junio;49;2-4;Carlo Porta;La preĝo;Gaudenzio Pison;milana dialekto;BELETRO;poemo;;poezio tradukita
09 - 1978;junio;49;5-6;Claude Gacond;Rousseau kaj montara civito;;;HISTORIO;historio;;eseo originala
09 - 1978;junio;49;7;Rejna de Jong;La kato / La psik-analigantoj / Ĉe ĉiu paŝo mia;;;BELETRO;poezio;;poezio originala
09 - 1978;junio;49;8-11;Giulio Cappa;Juan Rodolfo Wilcock;;;ESEO;eseo;;eseo originala
09 - 1978;junio;49;12-13;Reinhard Haupental;Eugen Wüster;;;ESEO;eseo;;eseo originala
09 - 1978;junio;49;14-15;Clelia Conterno;"""El la vivo"" de Vesna Skaljer-Race";;;EN VITRINO;recenzo;Vesna Skaljer-Race (1977), El la vivo;recenzo
09 - 1978;junio;49;15;Jim Cuscing;"""Naskitaj sur la ruino"" de Miyamoto Masao";;;EN VITRINO;recenzo;Miyamoto Masao (1976), Naskitaj sur la ruino;recenzo
09 - 1978;junio;49;16-17;J. Vemo;"""Matenruĝo"" de Oka Kazuto";;;EN VITRINO;recenzo;Oka Kazuto (1976), Matenruĝo;recenzo
09 - 1978;junio;49;18;Jouko Lindstedt;"""Sociopsikologio kaj grupdinamiko de la E-movado"" de T. Carlevaro";;;EN VITRINO;recenzo;T. Carlevaro (1977), Sociopsikologio kaj grupdinamiko de la E-movado;recenzo
09 - 1978;junio;49;20;Asterisko;Saluto el Svislando;;;REDAKCIE;asterisko;;eseo originala
09 - 1978;aŭgusto;50;2;la ĉeredaktoro;Enkonduke;;;REDAKCIE;redakcie;;anonco
09 - 1978;aŭgusto;50;3-5;Gulliver;El la lasta vojaĝo de Gulliver Letero al unika Ekstermonda Arkipelago;;;;;;eseo originala
09 - 1978;aŭgusto;50;6-7;Giorgio Silfer;Ni kreu per esperanto kulturan alternativon;;;ESEO;artikolo;;eseo originala
09 - 1978;aŭgusto;50;8-10;István Szerdahelyi;Vorto kaj vortelemento en Esperanto Studoj 10;;;LINGVISTIKO;lingvistiko;;eseo originala
09 - 1978;aŭgusto;50;11-12;Jouko Lindstedt;Al nova gazetaro;;;;;;eseo originala
09 - 1978;aŭgusto;50;13-14;Perla Martinelli;"Eeperanto havos sian ""Camplello""";;;;;;eseo originala
09 - 1978;aŭgusto;50;15;Giorgio Silfer;Esperanto en lernejoj aŭ lernejoj en Esperanto?;;;ESPERANTOLOGIO;lingvo;;eseo originala
09 - 1978;aŭgusto;50;16-17;Gianfranco Molle;Unua konkurso de E-kanzono: impersoj de partopreninto;;;KONKURSFAKO;konkurso;;anonco
09 - 1978;aŭgusto;50;18-19;Nicolino Rossi;"""Izolo"" de Kálmán Kalocsay";;;EN VITRINO;recenzo;Kálmán Kalocsay (1978), Izolo;recenzo
09 - 1978;aŭgusto;50;20;Kris Long;"""La urbo de terura nokto"" de James Thomson (tr. William Auld)";;;EN VITRINO;recenzo;James Thomson (1977), La urbo de terura nokto, tr. William Auld;recenzo
09 - 1978;aŭgusto;50;20-21;Roger Imbert;"""La justuloj"" de Albert Camus (tr. Georges Lagrange)";;;EN VITRINO;recenzo;Albert Camus (1977), La justuloj, tr. Georges Lagrange;recenzo
09 - 1978;oktobro;51;2-3;Giorgio Silfer;La satelito de Kalocsay;;;ESEO;dokumento;;eseo originala
09 - 1978;oktobro;51;4-5;Perla Martinelli;Grava leciono en jaro de magra rikolto;;;ESEO;eseo;;eseo originala
09 - 1978;oktobro;51;6-7;Giorgio Silfer;Unu Persono serĉanta Epilogon - El la dua akto;;;TEATRO;dramo;;teatro originala
